"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2021","Liquid","Kursk","Aggregated Record","C-14","0.000000e+0"
"2019","Liquid","Cofrentes","Aggregated Record","Beta/Gamma","5.768000e-2"
"2016","Atmospheric","Hatch","Hatch 1","H-3","1.233800e+1"
"2010","Atmospheric","Callaway","Aggregated Record","Iodine","1.056560e-4"
"2014","Liquid","St. Lucie","St. Lucie 1","Iodine","6.372000e-5"
"2004","Atmospheric","Blayais","Aggregated Record","C-14","6.050000e+2"
"2009","Liquid","Paluel","Aggregated Record","C-14","5.260000e+1"
"2017","Liquid","Fukushima-Daini","Aggregated Record","H-3","2.000000e+1"
"2012","Atmospheric","Koeberg","Aggregated Record","Iodine","2.791000e-1"
"2008","Atmospheric","Comanche Peak","Aggregated Record","Beta/Gamma","8.446600e-5"
"2019","Atmospheric","Three Mile Island","Three Mile Island 1","C-14","8.260000e+0"
"2011","Atmospheric","Rovno","Rovno 1-2","Other","0.000000e+0"
"1993","Liquid","Madras","Aggregated Record","H-3","4.286000e+5"
"2018","Liquid","Oconee","Aggregated Record","Beta/Gamma","4.332400e-3"
"2015","Atmospheric","Clinton","Aggregated Record","H-3","2.301000e+1"
"2017","Liquid","South Ukraine","South Ukraine 1-2","H-3","0.000000e+0"
"2006","Atmospheric","Fessenheim","Aggregated Record","H-3","3.430000e+2"
"1985","Liquid","Point Lepreau","Aggregated Record","H-3","2.400000e+4"
"2010","Atmospheric","Susquehanna","Aggregated Record","C-14","2.452000e+1"
"2018","Liquid","Hinkley Point","Hinkley Point A (AA-AB)","Other","3.620000e-1"
"2016","Liquid","Bohunice","NPP V2/SEAS","Iodine","5.660000e-4"
"2016","Atmospheric","Sequoyah","Aggregated Record","C-14","1.970000e+1"
"1986","Liquid","Cofrentes","Aggregated Record","H-3","1.200000e+2"
"2019","Atmospheric","Olkiluoto","Olkiluoto 2","Noble Gases","3.151000e+3"
"2011","Atmospheric","Kursk","Aggregated Record","Beta/Gamma","4.113000e-1"
"2010","Atmospheric","Hanul","Hanul 3","Noble Gases","9.120000e+0"
"2021","Atmospheric","Kursk","Aggregated Record","Alpha","0.000000e+0"
"2016","Atmospheric","Cooper","Aggregated Record","C-14","1.060000e+1"
"2016","Liquid","Loviisa","Loviisa 2","H-3","1.180000e+4"
"2009","Atmospheric","Hamaoka","Aggregated Record","Iodine","3.000000e-4"
"2020","Liquid","Grand Gulf","Aggregated Record","Iodine","8.070000e-5"
"2013","Liquid","Doel","Aggregated Record","Iodine","1.780000e-2"
"2012","Atmospheric","Kori","Kori 4","Noble Gases","1.401400e+2"
"2017","Liquid","Three Mile Island","Three Mile Island 1","H-3","3.397861e+2"
"2012","Atmospheric","Columbia","Aggregated Record","H-3","3.432930e+1"
"2017","Atmospheric","McGuire","Aggregated Record","Noble Gases","1.643531e+0"
"1989","Atmospheric","Koeberg","Aggregated Record","Beta/Gamma","2.000000e-4"
"2017","Atmospheric","St. Alban","Aggregated Record","Iodine","6.460000e-3"
"2015","Liquid","River Bend","Aggregated Record","H-3","6.439000e+1"
"1994","Atmospheric","Enrico Fermi","Aggregated Record","Iodine","4.700000e-3"
"2014","Liquid","Oskarshamn","Oskarshamn 3","Alpha","8.559285e-6"
"2008","Liquid","Khmelnitski","Drain valve","H-3","0.000000e+0"
"2016","Atmospheric","Dukovany","Dukovany 1-2","C-14","2.764226e+2"
"2001","Liquid","Halden","OECD Halden reactor project","Alpha","0.000000e+0"
"2021","Liquid","Shimane","Aggregated Record","Alpha","0.000000e+0"
"1986","Atmospheric","Point Lepreau","Aggregated Record","Noble Gases","5.000000e+3"
"2009","Atmospheric","Hatch","Hatch 1","Iodine","2.485626e-4"
"2016","Liquid","Atucha","Atucha 1","Alpha","2.800000e-1"
"2013","Liquid","Cruas","Aggregated Record","C-14","4.610000e+1"
"2014","Atmospheric","Prairie Island","Aggregated Record","C-14","1.032000e+1"
"2009","Atmospheric","North Anna","Aggregated Record","Noble Gases","5.483157e+1"
"2013","Liquid","Trillo","Aggregated Record","Particulates","2.590000e-1"
"2013","Liquid","Dungeness B","Aggregated Record","Beta/Gamma","1.818130e+2"
"2007","Liquid","St. Laurent","Aggregated Record","Beta/Gamma","1.910000e-1"
"2010","Atmospheric","Temelin","Temelin-2","Noble Gases","2.335494e+3"
"2005","Atmospheric","Bugey","Aggregated Record","Noble Gases","2.320833e+3"
"2020","Atmospheric","Columbia","Aggregated Record","Iodine","1.164120e-4"
"2008","Atmospheric","Ringhals","Ringhals 3","Noble Gases","3.250600e+1"
"2002","Atmospheric","Civaux","Aggregated Record","Beta/Gamma","3.459000e-3"
"2015","Atmospheric","Tomari","Aggregated Record","Noble Gases","0.000000e+0"
"1988","Atmospheric","Fitzpatrick","Aggregated Record","Noble Gases","1.440000e+5"
"1985","Atmospheric","Barseback","Aggregated Record","Noble Gases","4.500000e+2"
"2018","Liquid","Mochovce","Aggregated Record","Beta/Gamma","5.781190e-3"
"1994","Atmospheric","Ignalina","Aggregated Record","Beta/Gamma","8.200000e+0"
"2007","Atmospheric","Fugen ATR","Aggregated Record","Noble Gases","0.000000e+0"
"1985","Liquid","Bruce","Bruce A 1-4","H-3","1.066000e+6"
"2019","Liquid","Tihange","Tihange 3","H-3","1.021345e+4"
"1985","Atmospheric","Unterweser","Aggregated Record","C-14","7.500000e+1"
"2012","Liquid","Khmelnitski","Khmelnitski 1","Alpha","0.000000e+0"
"2015","Atmospheric","Chinon","Aggregated Record","Noble Gases","5.910000e+2"
"1987","Atmospheric","Big Rock Point","Aggregated Record","H-3","2.556700e+2"
"2014","Atmospheric","Hunterston","Hunterston B (B1-B2)","C-14","1.080000e+3"
"2018","Liquid","Zaporozhye","Zaporizhzhia 5","Other","0.000000e+0"
"2020","Atmospheric","Dresden","Dresden 3","H-3","7.499000e+0"
"2017","Liquid","Goesgen","Aggregated Record","Iodine","6.300000e-5"
"2015","Liquid","Heysham","Heysham 2 (Unit B)","Beta/Gamma","4.402400e+1"
"2010","Liquid","Gravelines","Aggregated Record","Iodine","1.960000e-2"
"2016","Liquid","Zaporozhye","Zaporizhzhia 1 ","Other","0.000000e+0"
"2020","Liquid","Oconee","Aggregated Record","Beta/Gamma","2.344000e-4"
"1987","Liquid","Tsuruga","Tsuruga 2","H-3","3.500000e+2"
"2014","Atmospheric","Vandellos","Vandellos 2","C-14","1.970000e+2"
"2002","Liquid","Flamanville","Aggregated Record","H-3","5.920000e+4"
"2021","Atmospheric","Kashiwazaki Kariwa","Aggregated Record","H-3","2.000000e+2"
"2013","Atmospheric","Braidwood","Braidwood 2","C-14","4.300000e+0"
"1989","Atmospheric","Almaraz","Almaraz 1","H-3","2.070000e+3"
"2017","Atmospheric","Hartlepool","Aggregated Record","H-3","6.340000e+2"
"2005","Liquid","Cattenom","Aggregated Record","Iodine","1.510000e-2"
"2012","Atmospheric","Sizewell B","Sizewell B","H-3","8.030000e+2"
"2020","Atmospheric","Doel","Aggregated Record","Alpha","5.000000e-4"
"2009","Atmospheric","Oldbury","Aggregated Record","Noble Gases","2.910000e+4"
"2004","Atmospheric","Almaraz","Aggregated Record","Alpha","3.788233e-6"
"2012","Liquid","Mihama","Aggregated Record","Other","0.000000e+0"
"2020","Atmospheric","Olkiluoto","Aggregated Record","C-14","6.494333e+2"
"1990","Liquid","Genkai","Aggregated Record","H-3","3.400000e+4"
"2007","Liquid","Bugey","Aggregated Record","Beta/Gamma","1.661032e+0"
"2025","Liquid","Saeul","Saeul-1","H-3","2.190000e+4"
"1986","Atmospheric","Kruemmel","Aggregated Record","Noble Gases","2.100000e+2"
"1985","Atmospheric","Grand Gulf","Aggregated Record","Iodine","8.070000e-3"
"2024","Liquid","Wolsong","Wolsong 1","Alpha","0.000000e+0"
"2012","Liquid","Salem","Salem 1","H-3","6.389360e+2"
"2017","Atmospheric","Rovno","Rovno 1-2","Other","0.000000e+0"
"2016","Atmospheric","Gentilly","Gentilly 2","C-14","3.790000e+2"
"2018","Liquid","Vandellos","Vandellos 2","Alpha","2.320000e-3"
"2011","Atmospheric","Hanul","Hanul 3","Noble Gases","9.980000e+0"
"2015","Liquid","Fort Calhoun","Aggregated Record","H-3","1.583000e+2"
"2018","Atmospheric","Dresden","Dresden 2","H-3","1.124000e+1"
"2014","Atmospheric","South Ukraine","South Ukraine 3","Beta/Gamma","2.048770e-3"
"2009","Liquid","St. Alban","Aggregated Record","Iodine","1.270000e-2"
"2008","Atmospheric","Tricastin","Aggregated Record","H-3","2.400000e+3"
"2014","Liquid","Susquehanna","Aggregated Record","Beta/Gamma","2.048367e-2"
"2014","Atmospheric","Perry","Aggregated Record","Noble Gases","6.686900e+1"
"2019","Atmospheric","Dungeness B","Aggregated Record","Beta/Gamma","2.915300e-1"
"2013","Atmospheric","Olkiluoto","Olkiluoto 1","Beta/Gamma","4.180000e-3"
"2010","Liquid","Sizewell B","Sizewell B","Beta/Gamma","6.000000e+0"
"2018","Atmospheric","Beaver Valley","Beaver Valley 1","Noble Gases","7.872640e-2"
"2000","Atmospheric","Temelin","Aggregated Record","Noble Gases","5.200000e+1"
"2007","Liquid","South Ukraine","Drain valve 2","Alpha","0.000000e+0"
"2001","Liquid","Halden","OECD Halden reactor project","Iodine","4.300000e-5"
"2020","Liquid","Muehleberg","Aggregated Record","Alpha","2.800000e-5"
"2021","Atmospheric","Emsland","Aggregated Record","C-14","1.400000e+2"
"2014","Liquid","Zaporozhye","Zaporizhzhia 3","Alpha","0.000000e+0"
"2018","Atmospheric","Olkiluoto","Olkiluoto 1","Alpha","3.580000e-5"
"2013","Atmospheric","Sendai","Aggregated Record","Noble Gases","1.500000e+0"
"1986","Atmospheric","Smolensk","Aggregated Record","Iodine","1.350000e+1"
"2016","Liquid","Loviisa","Loviisa 1","Particulates","1.410000e-1"
"1994","Atmospheric","North Anna","Aggregated Record","Beta/Gamma","5.200000e-3"
"2020","Atmospheric","Donald Cook","Aggregated Record","C-14","2.016000e+1"
"2009","Liquid","Pickering","Pickering 5-8","C-14","4.400000e+0"
"2014","Atmospheric","Palo Verde","Palo Verde 3","Noble Gases","1.781003e-1"
"2020","Atmospheric","Kori","Shin-Kori 1","H-3","9.890000e+2"
"2012","Liquid","Gentilly","Gentilly 2","H-3","3.510000e+5"
"1986","Liquid","Sizewell A","Sizewell A (AA-AB)","H-3","3.660000e+5"
"2020","Liquid","Tokai","Tokai-1","Beta/Gamma","0.000000e+0"
"2023","Atmospheric","Gentilly","Gentilly 2","C-14","5.940000e+0"
"2016","Liquid","Hanbit","Hanbit 4","H-3","3.620000e+3"
"2015","Atmospheric","Belleville","Aggregated Record","Iodine","9.610000e-3"
"2012","Liquid","Pickering","Pickering 5-8","H-3","1.800000e+5"
"2019","Atmospheric","Bruce","Bruce B 5-8","C-14","1.080000e+3"
"2003","Liquid","Chooz","Aggregated Record","H-3","2.760000e+4"
"2009","Liquid","Ringhals","Ringhals 2","Alpha","4.240000e-4"
"2019","Atmospheric","Kori","Kori 3","H-3","5.340000e+3"
"2009","Atmospheric","Brunswick","Aggregated Record","Beta/Gamma","9.234322e-3"
"1998","Atmospheric","Budapest University of Technology and Economics","Training Reactor","Alpha","0.000000e+0"
"1988","Atmospheric","Embalse","Aggregated Record","H-3","4.900000e+4"
"2022","Liquid","Wolsong","Wolsong 2","Beta/Gamma","1.916141e-1"
"2013","Liquid","Ringhals","Ringhals 2","Alpha","8.350000e-5"
"1985","Atmospheric","Madras","Aggregated Record","H-3","1.670000e+5"
"1988","Liquid","Quad Cities","Aggregated Record","H-3","2.693600e+2"
"2015","Liquid","Loviisa","Loviisa 2","Particulates","1.230000e-2"
"2014","Liquid","Callaway","Aggregated Record","H-3","1.444000e+3"
"2017","Atmospheric","Khmelnitski","Drain valve","Alpha","0.000000e+0"
"2009","Atmospheric","Salem","Salem 1","Beta/Gamma","3.567001e-6"
"1993","Atmospheric","Cooper","Aggregated Record","Iodine","1.024900e-3"
"2020","Atmospheric","Angra","Angra 1","Alpha","0.000000e+0"
"2016","Liquid","Almaraz","Aggregated Record","H-3","3.410000e+4"
"2016","Atmospheric","Nine Mile Point","Nine Mile Point 1","C-14","9.280000e+0"
"2013","Liquid","Forsmark","Forsmark 3","Iodine","2.800000e+1"
"1988","Atmospheric","Clinton","Aggregated Record","Iodine","9.070000e-3"
"1985","Liquid","North Anna","Aggregated Record","H-3","5.480000e+4"
"2020","Liquid","Bohunice","A1- decommissioning and Radwaste conditioning facility","Alpha","1.155335e-4"
"2024","Liquid","Kori","Kori 4","Iodine","0.000000e+0"
"2007","Atmospheric","Rovno","Drain valve units 3-4","Iodine","7.571000e-3"
"2010","Liquid","Cofrentes","Aggregated Record","Other","0.000000e+0"
"2015","Atmospheric","Wolf Creek","Aggregated Record","Noble Gases","4.198800e-1"
"2017","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Noble Gases","1.320000e+4"
"2012","Liquid","Paluel","Aggregated Record","C-14","6.070000e+1"
"2023","Liquid","Leibstadt","Leibstadt_EC","H-3","2.500000e+2"
"2008","Liquid","Cattenom","Aggregated Record","Iodine","2.480000e-2"
"1996","Atmospheric","Three Mile Island","Aggregated Record","H-3","2.940000e+2"
"2017","Liquid","Bohunice","NPP V2/SEAS","H-3","1.012990e+13"
"2011","Atmospheric","Seabrook","Aggregated Record","C-14","9.829000e+0"
"2011","Atmospheric","Arkansas One","Arkansas One 2","H-3","2.748000e+1"
"2009","Liquid","Vandellos","Vandellos 2","H-3","6.230094e+3"
"2015","Atmospheric","Hope Creek","Aggregated Record","H-3","2.009030e+2"
"2010","Liquid","Byron","Byron 2","Beta/Gamma","4.525980e-3"
"2019","Liquid","Cofrentes","Aggregated Record","Alpha","0.000000e+0"
"1995","Atmospheric","South Texas","Aggregated Record","H-3","6.300000e+3"
"2013","Atmospheric","Zaporozhye","Drain valve 1","Other","0.000000e+0"
"2017","Liquid","Zaporozhye","Zaporizhzhia 5","H-3","0.000000e+0"
"2020","Atmospheric","Trillo","Aggregated Record","Noble Gases","2.140000e+2"
"2015","Atmospheric","Grand Gulf","Aggregated Record","Noble Gases","4.795971e+2"
"2008","Atmospheric","Kori","Kori 2","Alpha","0.000000e+0"
"2012","Atmospheric","Bruce","Bruce B 5-8","Alpha","4.380000e-4"
"2020","Liquid","Dukovany","Aggregated Record","H-3","2.418053e+4"
"1987","Atmospheric","Mihama","Aggregated Record","Noble Gases","9.300000e+2"
"2013","Atmospheric","Koeberg","Aggregated Record","Noble Gases","5.591497e+3"
"2015","Atmospheric","Flamanville","Aggregated Record","C-14","3.860000e+2"
"1986","Atmospheric","Tsuruga","Tsuruga 1","Noble Gases","3.100000e+0"
"2002","Atmospheric","Civaux","Aggregated Record","Noble Gases","8.413826e+2"
"2017","Atmospheric","Zaporozhye","Zaporizhzhia 3","Other","0.000000e+0"
"1989","Atmospheric","Koeberg","Aggregated Record","Noble Gases","5.080000e+4"
"2022","Atmospheric","Laguna Verde","Laguna Verde 2","Beta/Gamma","1.188355e-1"
"2008","Atmospheric","Rovno","Rovno-4","Iodine","8.312000e-2"
"2009","Liquid","Point Lepreau","Aggregated Record","C-14","2.100000e-1"
"1986","Liquid","Farley","Aggregated Record","H-3","4.940000e+4"
"2011","Liquid","Tihange","Tihange 1","Alpha","1.300000e-4"
"2018","Liquid","Callaway","Aggregated Record","H-3","5.139000e+2"
"2021","Liquid","Shika","Aggregated Record","Beta/Gamma","0.000000e+0"
"2002","Liquid","St. Laurent","Aggregated Record","Beta/Gamma","1.626070e+0"
"2010","Liquid","Shika","Shika 1","H-3","2.800000e+2"
"2023","Atmospheric","Ikata","Aggregated Record","H-3","7.700000e+2"
"2015","Atmospheric","Enrico Fermi","Enrico Fermi 2","Iodine","1.817470e-2"
"2012","Atmospheric","Monticello","Aggregated Record","Iodine","2.126971e-1"
"1994","Atmospheric","Koeberg","Aggregated Record","Beta/Gamma","4.970000e+0"
"1996","Atmospheric","Kori","Kori Aggregated Record","Iodine","4.630000e-3"
"2018","Liquid","Farley","Farley 2","Iodine","5.270000e-6"
"2015","Liquid","Laguna Verde","Aggregated Record","Beta/Gamma","7.681232e+0"
"2013","Atmospheric","Novovoronezh","Aggregated Record","Iodine","7.400000e-2"
"2003","Atmospheric","Tricastin","Aggregated Record","H-3","1.200000e+3"
"2003","Liquid","Ignalina","Aggregated Record","H-3","6.800000e+2"
"2009","Atmospheric","Darlington","Aggregated Record","H-3","1.700000e+5"
"2007","Liquid","Tomari","Aggregated Record","H-3","2.700000e+4"
"2014","Atmospheric","Virgil C. Summer","Aggregated Record","Iodine","2.420000e-3"
"1986","Atmospheric","H.B. Robinson","Aggregated Record","Noble Gases","2.440000e+4"
"2014","Atmospheric","Fitzpatrick","Aggregated Record","H-3","1.706000e+1"
"1988","Atmospheric","Callaway","Aggregated Record","Noble Gases","2.550000e+4"
"2018","Atmospheric","Kursk","Aggregated Record","Noble Gases","4.850000e+5"
"2019","Atmospheric","Nine Mile Point","Nine Mile Point 1","H-3","1.612700e+1"
"2008","Atmospheric","Chooz","Aggregated Record","Noble Gases","2.392901e+3"
"2019","Atmospheric","Torness","Aggregated Record","Iodine","1.730000e-3"
"2004","Atmospheric","Penly","Aggregated Record","Beta/Gamma","4.197000e-3"
"2010","Liquid","Bruce","Bruce A 1-4","H-3","2.100000e+5"
"2004","Atmospheric","St. Alban","Aggregated Record","Beta/Gamma","1.670000e-2"
"2012","Atmospheric","Hanbit","Hanbit 5","H-3","1.360000e+3"
