"Year","Release Type","Site","Installation","Nuclide Type","Activity"
"2009","Liquid","Arkansas One","Arkansas One 2","Beta/Gamma","4.952606e-2"
"2018","Atmospheric","Millstone","Millstone 3","Noble Gases","2.381472e+0"
"2015","Liquid","Sequoyah","Aggregated Record","Beta/Gamma","7.772108e-2"
"2013","Liquid","Hinkley Point","Hinkley Point B (BA-BB)","H-3","2.510000e+5"
"2008","Atmospheric","Flamanville","Aggregated Record","C-14","2.650000e+2"
"2009","Liquid","Donald Cook","Aggregated Record","Beta/Gamma","3.317264e-3"
"2008","Liquid","Civaux","Aggregated Record","Iodine","5.010000e-3"
"2008","Atmospheric","Asco","Aggregated Record","Noble Gases","6.022340e+3"
"2008","Atmospheric","McGuire","Aggregated Record","H-3","2.263140e+2"
"2012","Atmospheric","Torness","Aggregated Record","Beta/Gamma","5.040000e+1"
"2021","Liquid","Bruce","Bruce B 5-8","Beta/Gamma","7.700000e-1"
"2010","Atmospheric","Kori","Shin-Kori 1","Noble Gases","5.720000e-1"
"2014","Liquid","Hartlepool","Aggregated Record","Other","3.860000e-1"
"1987","Atmospheric","Yankee NPS","Aggregated Record","Beta/Gamma","4.800000e-4"
"2002","Atmospheric","Cattenom","Aggregated Record","Beta/Gamma","8.066200e-3"
"2019","Atmospheric","Dukovany","Dukovany 3-4","Noble Gases","1.673740e+3"
"2018","Atmospheric","Atucha","Atucha 1","Particulates","9.000000e-3"
"2012","Liquid","Hanul","Hanul 6","H-3","4.440000e+3"
"2017","Atmospheric","Heysham","Heysham 2 (Unit B)","H-3","1.260000e+3"
"2020","Atmospheric","Hanbit","Hanbit 1","H-3","5.570000e+3"
"2007","Atmospheric","Cattenom","Aggregated Record","Iodine","2.790000e-2"
"1986","Atmospheric","Kuosheng","Aggregated Record","H-3","2.590000e+2"
"2004","Atmospheric","St. Laurent","Aggregated Record","H-3","1.190000e+2"
"2005","Atmospheric","Cattenom","Aggregated Record","Noble Gases","1.011625e+3"
"2010","Atmospheric","Vogtle","Vogtle 2","H-3","1.635000e+1"
"2019","Atmospheric","Pickering","Aggregated Record","Alpha","1.100000e-3"
"2018","Atmospheric","Fessenheim","Aggregated Record","Iodine","4.530000e-3"
"2020","Atmospheric","Columbia","Aggregated Record","Noble Gases","1.027000e+2"
"2011","Liquid","Turkey Point","Turkey Point 4","Iodine","1.040000e-5"
"2008","Atmospheric","Vogtle","Vogtle 1","Beta/Gamma","2.938000e-6"
"2010","Liquid","Darlington","Aggregated Record","C-14","4.900000e-1"
"2017","Atmospheric","Olkiluoto","Olkiluoto 1","Iodine","8.690000e-1"
"2012","Atmospheric","Khmelnitski","Khmelnitski 2","Particulates","2.627200e-3"
"2007","Atmospheric","Santa Maria de Garona","Aggregated Record","Alpha","4.650000e-5"
"1985","Atmospheric","Blayais","Aggregated Record","Noble Gases","4.310000e+5"
"1989","Liquid","Tsuruga","Tsuruga 1","H-3","1.200000e+4"
"1985","Atmospheric","Ringhals","Ringhals 2-4","Iodine","5.700000e+0"
"2005","Atmospheric","Fessenheim","Aggregated Record","H-3","7.970000e+2"
"2022","Atmospheric","Darlington","Aggregated Record","Alpha","6.900000e-4"
"2021","Atmospheric","Rheinsberg","Aggregated Record","Beta/Gamma","6.200000e-5"
"2016","Liquid","Three Mile Island","Three Mile Island 2","H-3","9.370000e-6"
"2022","Liquid","Darlington","Aggregated Record","Beta/Gamma","9.300000e+0"
"1985","Atmospheric","Barseback","Aggregated Record","Iodine","3.700000e-2"
"2013","Atmospheric","Rovno","Rovno 1-2","Beta/Gamma","2.648500e-2"
"1985","Atmospheric","Dungeness B","Aggregated Record","Noble Gases","2.000000e+4"
"2012","Atmospheric","Braidwood","Braidwood 1","C-14","4.140000e+0"
"2015","Liquid","Bohunice","NPP V2/SEAS","H-3","1.120000e+4"
"2022","Atmospheric","Heysham","Heysham 2 (Unit B)","C-14","1.540000e+3"
"2009","Atmospheric","Hunterston","Hunterston A (A1-A2)","Other","4.400000e-4"
"2007","Atmospheric","Vandellos","Vandellos 2","H-3","9.660000e+1"
"2020","Liquid","Wolf Creek","Aggregated Record","Beta/Gamma","8.562509e-3"
"2010","Atmospheric","Farley","Farley 2","Noble Gases","8.612387e+0"
"2012","Liquid","Sizewell A","Sizewell A (AA-AB)","Beta/Gamma","1.200000e+2"
"2010","Atmospheric","Koeberg","Aggregated Record","Beta/Gamma","3.019500e-3"
"2011","Liquid","Dresden","Aggregated Record","Beta/Gamma","5.596000e-5"
"2021","Atmospheric","Philippsburg","Philippsburg 1 (KKP-1)","Beta/Gamma","1.315000e-4"
"1997","Atmospheric","Paks","Aggregated Record","H-3","4.780000e+3"
"1986","Liquid","Grohnde (KWG)","Aggregated Record","H-3","8.000000e+3"
"1996","Liquid","Hanbit","Aggregated Record","H-3","4.220000e+4"
"2019","Liquid","Bilibino","Aggregated Record","H-3","5.710000e+1"
"2017","Atmospheric","Pilgrim","Aggregated Record","Beta/Gamma","6.596300e-4"
"2022","Liquid","Bradwell","Bradwell A","Beta/Gamma","4.500000e-2"
"2017","Atmospheric","Koeberg","Aggregated Record","H-3","1.582000e+4"
"2015","Liquid","Asco","Aggregated Record","Alpha","5.520000e-4"
"2014","Liquid","Hanul","Hanul 5","Beta/Gamma","3.778400e-2"
"2008","Atmospheric","Khmelnitski","Drain valve","H-3","0.000000e+0"
"2019","Atmospheric","Indian Point","Indian Point 1-2","C-14","1.052000e+1"
"2014","Atmospheric","Doel","Aggregated Record","Noble Gases","3.010000e+4"
"2013","Liquid","Dampierre","Aggregated Record","C-14","4.210000e+1"
"2025","Liquid","Atucha","Atucha 2","Beta/Gamma","1.686558e+1"
"2024","Atmospheric","Hanul","Shin-Hanul 1","H-3","3.700000e+2"
"2019","Liquid","Zaporozhye","Zaporizhzhia 5","Other","0.000000e+0"
"2019","Liquid","Wolsong","Wolsong 2","Beta/Gamma","4.081599e-1"
"2011","Atmospheric","Kewaunee","Aggregated Record","C-14","6.400000e+0"
"2020","Liquid","Trillo","Aggregated Record","Beta/Gamma","4.968000e-2"
"2017","Atmospheric","Virgil C. Summer","Aggregated Record","C-14","8.130000e+0"
"2020","Liquid","Hanul","Hanul 2","Particulates","0.000000e+0"
"2010","Atmospheric","Indian Point","Indian Point 3","Noble Gases","2.109931e-1"
"1997","Liquid","Donald Cook","Aggregated Record","H-3","1.110000e+5"
"2019","Atmospheric","Tihange","Tihange 3","Other","5.185000e-2"
"2010","Liquid","Nine Mile Point","Nine Mile Point 2","Beta/Gamma","2.728400e-4"
"1990","Atmospheric","Clinton","Aggregated Record","H-3","6.956000e+1"
"1985","Atmospheric","Monticello","Aggregated Record","H-3","2.710000e+3"
"2009","Atmospheric","Forsmark","Forsmark 2","Beta/Gamma","8.629550e-2"
"2019","Atmospheric","Clinton","Aggregated Record","Beta/Gamma","2.012538e-4"
"2015","Atmospheric","Arkansas One","Arkansas One 1","C-14","8.760000e+0"
"2016","Atmospheric","Trillo","Aggregated Record","Noble Gases","1.570000e+2"
"2013","Atmospheric","Oskarshamn","Oskarshamn 2","Beta/Gamma","1.609308e-2"
"2019","Atmospheric","Tihange","Tihange 1","Beta/Gamma","4.106000e-2"
"1995","Atmospheric","Smolensk","Aggregated Record","Noble Gases","1.020000e+6"
"1995","Atmospheric","Palo Verde","Aggregated Record","H-3","4.380000e+4"
"2007","Liquid","Olkiluoto","Olkiluoto 2","H-3","6.730000e+2"
"2011","Atmospheric","Pickering","Pickering 1-4","H-3","2.100000e+5"
"2017","Atmospheric","Asco","Aggregated Record","Particulates","7.980000e-3"
"2019","Liquid","South Ukraine","South Ukraine 1-2","H-3","0.000000e+0"
"1988","Atmospheric","Point Lepreau","Aggregated Record","H-3","2.200000e+5"
"2011","Liquid","Bugey","Aggregated Record","Iodine","2.740000e-2"
"1985","Atmospheric","Wuergassen","Aggregated Record","H-3","1.000000e+3"
"2007","Atmospheric","Bilibino","Aggregated Record","Beta/Gamma","9.830000e-3"
"2007","Atmospheric","Oskarshamn","Oskarshamn 1","Alpha","1.032965e-6"
"2019","Liquid","Davis Besse","Aggregated Record","H-3","9.990000e+2"
"2013","Atmospheric","Brunswick","Aggregated Record","Iodine","1.149278e-1"
"2009","Liquid","Atucha","Atucha 1","Iodine","4.300000e+0"
"2017","Atmospheric","ROSTOV","Aggregated Record","Noble Gases","9.930000e+4"
"2020","Liquid","Brunsbuettel","Aggregated Record","Alpha","0.000000e+0"
"2018","Liquid","Smolensk","Aggregated Record","Beta/Gamma","1.062710e-2"
"2015","Liquid","Rovno","Rovno 1-2","Other","0.000000e+0"
"2012","Atmospheric","Zaporozhye","Drain valve 1","Other","0.000000e+0"
"2017","Atmospheric","Fugen ATR","Aggregated Record","H-3","1.800000e+1"
"2016","Atmospheric","Wolsong","Wolsong 1","Noble Gases","5.088830e+3"
"2011","Atmospheric","Oconee","Aggregated Record","H-3","1.481462e+2"
"2009","Liquid","Santa Maria de Garona","Aggregated Record","H-3","5.460000e+2"
"2010","Atmospheric","Atucha","Atucha 1","Noble Gases","5.000000e+4"
"1986","Atmospheric","Pickering","Pickering 1-4","Iodine","6.700000e-2"
"2007","Atmospheric","Tomari","Aggregated Record","Noble Gases","3.100000e+0"
"2015","Liquid","San Onofre","Aggregated Record","Beta/Gamma","2.315000e-4"
"2015","Atmospheric","Limerick","Aggregated Record","Iodine","1.410000e-5"
"2016","Atmospheric","Tokai","Tokai-2","Noble Gases","0.000000e+0"
"2017","Atmospheric","Grand Gulf","Aggregated Record","Iodine","7.701300e-4"
"2006","Atmospheric","Flamanville","Aggregated Record","H-3","1.590000e+3"
"2007","Atmospheric","Cofrentes","Aggregated Record","Iodine","1.370686e+1"
"2010","Atmospheric","Olkiluoto","Olkiluoto 2","Iodine","6.690000e-2"
"1997","Atmospheric","Armenia","Aggregated Record","Beta/Gamma","2.770000e+0"
"2018","Atmospheric","Tihange","Tihange 3","Iodine","3.060000e-3"
"2012","Atmospheric","Heysham","Heysham 1 (Unit A)","H-3","1.470000e+3"
"2007","Atmospheric","Almaraz","Aggregated Record","C-14","2.990000e+1"
"2020","Atmospheric","Beaver Valley","Beaver Valley 2","H-3","8.373878e+1"
"2002","Atmospheric","Blayais","Aggregated Record","Iodine","1.785000e-1"
"2010","Atmospheric","Zaporozhye","Zaporizhzhia 1 ","Other","0.000000e+0"
"1986","Atmospheric","Tsuruga","Tsuruga 1","Iodine","1.100000e-2"
"2014","Liquid","Oskarshamn","Oskarshamn 3","Beta/Gamma","3.237401e-1"
"2024","Liquid","Kola","Aggregated Record","H-3","9.480000e+3"
"1997","Atmospheric","Maanshan","Aggregated Record","Beta/Gamma","1.130000e-2"
"2018","Atmospheric","Hatch","Hatch 2","Noble Gases","8.720000e-1"
"2011","Atmospheric","Palisades","Aggregated Record","Noble Gases","1.038881e+1"
"1988","Atmospheric","Turkey Point","Aggregated Record","Noble Gases","9.480000e+4"
"1988","Liquid","Madras","Aggregated Record","Beta/Gamma","4.933000e+0"
"2014","Atmospheric","Wolsong","Wolsong 3","Noble Gases","6.198000e+3"
"1994","Atmospheric","Guangdong","Aggregated Record","H-3","3.300000e+2"
"2014","Atmospheric","Quad Cities","Aggregated Record","C-14","2.840300e+1"
"2014","Liquid","Wolsong","Shin-Wolsong 2","H-3","8.240000e+2"
"2024","Atmospheric","AKADEMIK LOMONOSOV ","Aggregated Record","C-14","5.000000e-1"
"2014","Atmospheric","Kozloduy","Kozloduy-5","H-3","1.597000e+2"
"2004","Atmospheric","Almaraz","Aggregated Record","H-3","4.431597e+3"
"2021","Atmospheric","Pickering","Aggregated Record","Beta/Gamma","1.100000e-2"
"2014","Atmospheric","Blayais","Aggregated Record","H-3","1.150000e+3"
"1986","Atmospheric","Turkey Point","Aggregated Record","Iodine","7.118800e-1"
"2016","Atmospheric","Dresden","Dresden 2","H-3","1.343600e+0"
"2016","Atmospheric","Tihange","Tihange 1","Other","1.508500e-1"
"2007","Atmospheric","Rovno","Rovno-4","Noble Gases","6.589700e+3"
"1995","Liquid","Gentilly","Aggregated Record","H-3","2.000000e+5"
"2011","Atmospheric","Braidwood","Braidwood 1","Noble Gases","7.288982e-1"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 6","H-3","0.000000e+0"
"1994","Atmospheric","Crystal River","Aggregated Record","Noble Gases","4.320000e+3"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 2","Iodine","8.290000e-3"
"2008","Liquid","Hartlepool","Aggregated Record","Other","1.510000e+0"
"2019","Atmospheric","South Ukraine","South Ukraine 1-2","Particulates","1.683121e-2"
"1989","Atmospheric","Pilgrim","Aggregated Record","Beta/Gamma","2.000000e-2"
"2008","Atmospheric","Kori","Kori 4","Particulates","0.000000e+0"
"2017","Atmospheric","Heysham","Heysham 1 (Unit A)","Beta/Gamma","4.020652e+1"
"2011","Liquid","Peach Bottom","Aggregated Record","Beta/Gamma","1.491960e-4"
"2012","Atmospheric","Lasalle","Aggregated Record","Beta/Gamma","8.881300e-3"
"2013","Atmospheric","Blayais","Aggregated Record","Noble Gases","5.500000e+2"
"2017","Atmospheric","Palo Verde","Palo Verde 2","Iodine","7.812000e-4"
"2013","Atmospheric","Zaporozhye","Zaporizhzhia 3","H-3","0.000000e+0"
"1996","Atmospheric","Davis Besse","Aggregated Record","Iodine","9.400000e-2"
"2020","Liquid","Wolsong","Wolsong 3","Particulates","2.420000e-2"
"2006","Atmospheric","Fessenheim","Aggregated Record","Iodine","2.860000e-2"
"1991","Atmospheric","Kozloduy","Aggregated Record","Noble Gases","4.020000e+5"
"1985","Atmospheric","Browns Ferry","Aggregated Record","Noble Gases","9.770000e+5"
"1977","Liquid","Sellafield","Aggregated Record","Alpha","4.174480e+4"
"2013","Atmospheric","Hunterston","Hunterston A (A1-A2)","H-3","8.400000e-1"
"2015","Atmospheric","Heysham","Heysham 2 (Unit B)","Iodine","7.400000e-2"
"2016","Atmospheric","Embalse","Aggregated Record","Particulates","1.000000e-7"
"2020","Liquid","Wolsong","Shin-Wolsong 2","Particulates","4.410000e-2"
"2016","Liquid","Browns Ferry","Aggregated Record","Beta/Gamma","2.384176e-2"
"1994","Atmospheric","Bohunice","Bohunice 1","Iodine","1.380000e+0"
"1989","Liquid","Fitzpatrick","Aggregated Record","H-3","2.710000e+1"
"1985","Atmospheric","Lacrosse","Aggregated Record","Noble Gases","3.170000e+5"
"2014","Atmospheric","Cofrentes","Aggregated Record","Noble Gases","5.580000e+3"
"2009","Liquid","Zaporozhye","Zaporizhzhia 2","Alpha","0.000000e+0"
"2016","Atmospheric","Salem","Salem 2","C-14","9.920000e+0"
"1986","Atmospheric","Beaver Valley","Aggregated Record","H-3","7.326000e+2"
"2007","Atmospheric","Oskarshamn","Oskarshamn 2","H-3","1.816310e+2"
"2009","Atmospheric","Palisades","Aggregated Record","H-3","4.111600e+1"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 2","Other","0.000000e+0"
"2013","Liquid","Embalse","Aggregated Record","Particulates","7.500000e+0"
"2007","Liquid","Fukushima-Daini","Aggregated Record","Other","0.000000e+0"
"2013","Atmospheric","Nine Mile Point","Nine Mile Point 1","Iodine","4.062900e-3"
"2018","Atmospheric","Hanul","Hanul 6","C-14","6.640000e+1"
"2018","Liquid","Bruce","Bruce A 1-4","H-3","1.960000e+5"
"2022","Atmospheric","Heysham","Heysham 2 (Unit A)","Beta/Gamma","1.830728e+1"
"1989","Liquid","Crystal River","Aggregated Record","H-3","1.272800e+4"
"2024","Liquid","Bruce","Bruce A 1-4","C-14","1.200000e+1"
"2021","Liquid","Grafenrheinfeld","Aggregated Record","Alpha","1.209000e-4"
"2011","Liquid","Pickering","Pickering 5-8","C-14","2.200000e+0"
"2009","Atmospheric","Temelin","Temelin-2","Beta/Gamma","5.255006e-4"
"2014","Atmospheric","Bugey","Aggregated Record","C-14","5.810000e+2"
"2005","Liquid","Halden","OECD Halden reactor project","H-3","5.300000e+2"
"1985","Atmospheric","Kola","Aggregated Record","Noble Gases","1.040000e+6"
"1986","Atmospheric","Muelheim-Kaerlich","Aggregated Record","C-14","1.000000e+1"
"2014","Liquid","Gravelines","Aggregated Record","C-14","6.220000e+1"
"2012","Atmospheric","Kori","Kori 3","H-3","5.940000e+3"
"1998","Atmospheric","Dukovany","Aggregated Record","Alpha","1.660000e-5"
"2012","Atmospheric","Monticello","Aggregated Record","C-14","6.600000e+0"
"2019","Atmospheric","Farley","Farley 2","Noble Gases","5.829482e+0"
"2016","Atmospheric","Forsmark","Forsmark 1","C-14","5.448927e+2"
"1986","Atmospheric","Kuosheng","Aggregated Record","Beta/Gamma","5.550000e-3"
"2012","Atmospheric","Davis Besse","Aggregated Record","Noble Gases","8.297420e-1"
"2019","Atmospheric","Flamanville","Aggregated Record","Iodine","2.840000e-3"
"2011","Liquid","Oconee","Aggregated Record","Iodine","1.050000e-7"
"2014","Atmospheric","Brunswick","Aggregated Record","Noble Gases","1.402926e+2"
"2019","Liquid","Hanul","Hanul 3","H-3","1.430000e+4"
"1995","Atmospheric","Maanshan","Aggregated Record","Noble Gases","4.670000e+2"
"2008","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","C-14","1.110000e+3"
"2007","Liquid","Nogent","Aggregated Record","Beta/Gamma","2.584300e-1"
"2018","Atmospheric","Turkey Point","Turkey Point 4","Noble Gases","1.129069e-2"
"2014","Atmospheric","Doel","Aggregated Record","H-3","2.651000e+3"
"2011","Liquid","Chooz","Aggregated Record","C-14","3.870000e+1"
"2015","Liquid","Dungeness B","Aggregated Record","Other","3.060000e+0"
"1987","Atmospheric","Chinshan","Aggregated Record","Noble Gases","8.400000e+4"
"2013","Atmospheric","Gravelines","Aggregated Record","Iodine","2.910000e-2"
"1985","Liquid","Wuergassen","Aggregated Record","H-3","7.100000e+2"
"2009","Liquid","Loviisa","Loviisa 2","H-3","1.960118e+4"
"2024","Atmospheric","Hanul","Shin-Hanul 1","Iodine","2.332400e-2"
"2009","Atmospheric","Watts Bar","Watts Bar-1","Iodine","4.702790e-4"
"2015","Atmospheric","Hanul","Hanul 2","Noble Gases","8.280000e+0"
"2014","Atmospheric","Zaporozhye","Zaporizhzhia 6","Beta/Gamma","1.239600e-3"
"2015","Atmospheric","Hinkley Point","Hinkley Point B (BA-BB)","Noble Gases","1.450000e+4"
"1986","Atmospheric","Philippsburg","Philippsburg 1 (KKP-1)","Iodine","1.100000e-2"
"2025","Liquid","Point Lepreau","Aggregated Record","C-14","8.350000e-1"
"2009","Atmospheric","Cattenom","Aggregated Record","H-3","4.410000e+3"
"2017","Liquid","Hamaoka","Aggregated Record","H-3","2.800000e+1"
"1986","Atmospheric","Kori","Kori Aggregated Record","Beta/Gamma","1.480000e-1"
"2017","Atmospheric","Sendai","Aggregated Record","Iodine","2.100000e-3"
"2005","Atmospheric","Cattenom","Aggregated Record","C-14","9.170000e+2"
"1989","Atmospheric","Chinshan","Aggregated Record","Iodine","3.960000e+0"
"2017","Liquid","Water Ford","Aggregated Record","Iodine","3.780000e-6"
"2021","Liquid","Krsko","Krsko NPP","Iodine","0.000000e+0"
"1996","Atmospheric","Rovno","Aggregated Record","Beta/Gamma","1.300000e-1"
"2007","Atmospheric","Pickering","Pickering 1-4","C-14","9.400000e+2"
"2017","Atmospheric","Kozloduy","Auxiliary building","H-3","1.330000e+2"
"2017","Atmospheric","Rovno","Rovno-4","C-14","0.000000e+0"
"2014","Atmospheric","Zaporozhye","Drain valve 1","Particulates","9.063700e-2"
"2000","Atmospheric","Budapest University of Technology and Economics","Training Reactor","Noble Gases","2.510000e+1"
"1993","Atmospheric","Darlington","Aggregated Record","Beta/Gamma","1.120000e-1"
"2021","Liquid","Hamaoka","Aggregated Record","Iodine","0.000000e+0"
"1985","Liquid","Hatch","Aggregated Record","H-3","2.120000e+3"
"2001","Liquid","Paks","Aggregated Record","Beta/Gamma","3.213100e+0"
"1994","Atmospheric","Monticello","Aggregated Record","Iodine","3.200000e-1"
"2018","Atmospheric","Palo Verde","Palo Verde 2","C-14","4.520000e+0"
"1988","Atmospheric","Maine Yankee","Aggregated Record","Iodine","1.643000e-2"
"1986","Atmospheric","Santa Maria de Garona","Aggregated Record","Noble Gases","7.640000e+4"
"1986","Atmospheric","R.E. Ginna","Aggregated Record","H-3","2.850000e+3"
"2016","Liquid","Donald Cook","Aggregated Record","Iodine","2.419000e-5"
"2017","Liquid","Pickering","Pickering 1-4","Particulates","6.600000e+0"
"2018","Atmospheric","Limerick","Aggregated Record","Iodine","1.030000e-5"
"2007","Atmospheric","Heysham","Heysham 2 (Unit B)","C-14","1.520000e+3"
"2014","Atmospheric","Bruce","Bruce B 5-8","Noble Gases","5.250000e+4"
"1988","Atmospheric","Palisades","Aggregated Record","Beta/Gamma","2.331000e-1"
"2016","Liquid","Ringhals","Ringhals 1","Beta/Gamma","2.044200e-1"
"1989","Atmospheric","Fitzpatrick","Aggregated Record","H-3","4.700000e+2"
"2019","Atmospheric","Oskarshamn","Oskarshamn 3","Other","4.999763e+2"
"2010","Atmospheric","Bruce","Bruce A 1-4","Noble Gases","8.000000e+4"
"2020","Atmospheric","Browns Ferry","Aggregated Record","H-3","4.828868e+2"
"1985","Atmospheric","Maanshan","Aggregated Record","Iodine","5.740000e-3"
"1952","Liquid","Sellafield","Aggregated Record","H-3","2.500000e+5"
"2015","Atmospheric","Hatch","Hatch 2","Iodine","3.099650e-4"
"2015","Atmospheric","St. Lucie","St. Lucie 1","C-14","1.118000e+1"
"2018","Atmospheric","Cooper","Aggregated Record","Iodine","9.193360e-4"
"2011","Liquid","Kashiwazaki Kariwa","Aggregated Record","Other","0.000000e+0"
"2014","Liquid","Rovno","Drain valve units 3-4","Alpha","0.000000e+0"
"2018","Liquid","Asco","Aggregated Record","Beta/Gamma","1.360930e+0"
"2018","Atmospheric","Tricastin","Aggregated Record","Iodine","4.250000e-3"
"2016","Liquid","Arkansas One","Arkansas One 1","Iodine","7.365100e-4"
"1986","Atmospheric","Oskarshamn","Aggregated Record","Iodine","3.490000e+0"
"2020","Atmospheric","Hanbit","Hanbit 3","Particulates","0.000000e+0"
"2012","Atmospheric","South Ukraine","South Ukraine 1-2","Iodine","1.497299e-1"
"2018","Atmospheric","River Bend","Aggregated Record","Iodine","1.089992e-1"
"2015","Liquid","Wolsong","Wolsong 2","H-3","3.320000e+3"
"2021","Atmospheric","Kola","Aggregated Record","H-3","2.140000e+3"
"2017","Atmospheric","Hanul","Hanul 5","Noble Gases","5.850000e+0"
"2010","Atmospheric","Rovno","Rovno-3","Other","0.000000e+0"
"2015","Liquid","Kori","Shin-Kori 1","H-3","1.030000e+4"
"2019","Atmospheric","Khmelnitski","Drain valve","Beta/Gamma","2.873800e-4"
"2007","Liquid","Zaporozhye","Drain valve 2","Particulates","0.000000e+0"
"1987","Atmospheric","Davis Besse","Aggregated Record","Iodine","3.996000e-2"
"2021","Atmospheric","Bruce","Bruce B 5-8","Noble Gases","2.600000e+4"
"2023","Liquid","Hanbit","Hanbit 1","H-3","1.060000e+4"
"2008","Liquid","Almaraz","Aggregated Record","Iodine","9.024524e-3"
"2017","Atmospheric","Susquehanna","Aggregated Record","Beta/Gamma","9.767000e-5"
"2017","Liquid","Kori","Kori 2","Beta/Gamma","3.376000e-3"
"2020","Atmospheric","Indian Point","Indian Point 3","Noble Gases","8.050304e-2"
"2012","Liquid","Atucha","Atucha 1","Beta/Gamma","6.200000e+0"
"2024","Atmospheric","Kola","Aggregated Record","H-3","1.688000e+3"
"2007","Atmospheric","Bruce","Bruce A 1-4","Particulates","4.400000e-3"
"2010","Liquid","Bugey","Aggregated Record","C-14","2.910000e+1"
"2018","Atmospheric","South Ukraine","Drain valve 2","Particulates","1.530964e-2"
"2017","Atmospheric","Bugey","Aggregated Record","C-14","4.390000e+2"
"2017","Liquid","Bohunice"," NPP V1/JAVYS","Alpha","1.216000e-5"
"1986","Atmospheric","Unterweser","Aggregated Record","Beta/Gamma","5.600000e-3"
"2020","Atmospheric","Dresden","Dresden 2","C-14","1.645000e+1"
"2013","Atmospheric","Oskarshamn","Oskarshamn 2","Alpha","6.575028e-6"
"2015","Atmospheric","Zaporozhye","Zaporizhzhia 4","Iodine","7.260000e-3"
"2020","Liquid","Angra","Angra 2","H-3","9.310000e+3"
"1988","Liquid","Zion","Aggregated Record","H-3","3.590000e+4"
"1985","Atmospheric","Maanshan","Aggregated Record","Noble Gases","7.330000e+1"
"2011","Atmospheric","Bruce","Bruce B 5-8","Alpha","1.780000e-2"
"2015","Atmospheric","Zaporozhye","Drain valve 1","Alpha","0.000000e+0"
"2014","Liquid","Trawsfynydd","Aggregated Record","Alpha","2.690000e-3"
"2025","Atmospheric","Balakovo","Aggregated Record","Noble Gases","1.230000e+3"
"2010","Atmospheric","South Ukraine","South Ukraine 1-2","Particulates","1.234465e-2"
"2012","Atmospheric","Rovno","Rovno-4","Beta/Gamma","5.920600e-4"
"2020","Atmospheric","Browns Ferry","Aggregated Record","Iodine","2.658750e-3"
"2022","Atmospheric","Kori","Shin-Kori 1","C-14","1.380000e+2"
"2018","Atmospheric","Water Ford","Aggregated Record","Noble Gases","4.220900e-1"
"2009","Liquid","Civaux","Aggregated Record","H-3","3.920000e+4"
"2018","Atmospheric","Vandellos","Vandellos 2","Other","3.216000e-4"
"2019","Atmospheric","Dukovany","Dukovany 3-4","Beta/Gamma","3.067000e-3"
"2006","Liquid","Almaraz","Aggregated Record","C-14","0.000000e+0"
"2012","Atmospheric","Cooper","Aggregated Record","Iodine","8.804400e-4"
"2017","Atmospheric","Muehleberg","Aggregated Record","Noble Gases","2.175308e+1"
"2012","Atmospheric","Khmelnitski","Khmelnitski 1","Beta/Gamma","2.614740e-3"
"1986","Atmospheric","Arkansas One","Aggregated Record","Noble Gases","1.913000e+5"
"2025","Atmospheric","ROSTOV","Aggregated Record","Noble Gases","5.829800e+3"
"2009","Liquid","Hanbit","Hanbit 3","Iodine","2.250000e-3"
"1992","Atmospheric","South Texas","Aggregated Record","H-3","3.966400e+3"
"2010","Atmospheric","St. Lucie","St. Lucie 2","H-3","6.634000e-1"
"2008","Liquid","Hanul","Hanul 1","Particulates","1.142000e-3"
"2021","Liquid","Borssele","Aggregated Record","Iodine","2.110000e-4"
"2011","Atmospheric","Higashidori","Higashidori I 1 (Tohoku)","Noble Gases","0.000000e+0"
"2011","Atmospheric","South Ukraine","Drain valve 2","Noble Gases","0.000000e+0"
"2007","Liquid","Cattenom","Aggregated Record","H-3","1.070000e+5"
"2016","Liquid","Hunterston","Hunterston B (B1-B2)","Beta/Gamma","5.520000e-1"
"2004","Atmospheric","Civaux","Aggregated Record","H-3","7.860000e+2"
"1991","Atmospheric","Kozloduy","Aggregated Record","Beta/Gamma","1.700000e+0"
"2021","Atmospheric","Paks","Aggregated Record","H-3","3.956000e+3"
"1986","Atmospheric","Ranch Seco","Aggregated Record","H-3","9.102000e+2"
"2025","Liquid","Wolsong","Shin-Wolsong 1","Iodine","0.000000e+0"
"2009","Atmospheric","Seabrook","Aggregated Record","Iodine","1.274700e-5"
"2010","Liquid","Kozloduy","Auxiliary building","Beta/Gamma","1.365808e-1"
"1985","Atmospheric","Goesgen","Aggregated Record","Beta/Gamma","1.000000e-2"
"2015","Atmospheric","River Bend","Aggregated Record","Noble Gases","8.404138e+2"
"2011","Liquid","Almaraz","Aggregated Record","Beta/Gamma","2.049400e+0"
"2009","Atmospheric","Rovno","Rovno-4","H-3","2.426000e+2"
"2017","Liquid","Hatch","Hatch 1","Beta/Gamma","7.575500e-4"
"2010","Atmospheric","Susquehanna","Aggregated Record","Noble Gases","1.370980e-1"
"2020","Liquid","Kashiwazaki Kariwa","Aggregated Record","Beta/Gamma","0.000000e+0"
"2013","Atmospheric","South Ukraine","South Ukraine 3","Particulates","8.051406e-3"
